chan_id,spacecraft,anomaly_sequences,class,num_values
"P-1,Аппарат1,""[[1899, 2099], [4286, 4594], [3289, 3529]]"",""[contextual, contextual, contextual]"",8505"
"S-1,Аппарат1,""[[5050, 5497]]"",[point],7331"
"E-1,Аппарат1,""[[4750, 4780], [5360, 5836]]"",""[contextual, contextual]"",8516"
"E-2,Аппарат1,""[[5348, 6745]]"",[point],8532"
"E-3,Аппарат1,""[[4844, 8124]]"",[point],8307"
"E-4,Аппарат1,""[[5200, 8011]]"",[point],8354"
"E-5,Аппарат1,""[[5350, 5670]]"",[point],8294"
"E-6,Аппарат1,""[[5360, 5425]]"",[point],8300"
"E-7,Аппарат1,""[[5144, 5424]]"",[point],8310"
"E-8,Аппарат1,""[[5150, 5772]]"",[point],8532"
"E-9,Аппарат1,""[[5300, 5650]]"",[point],8302"
"E-10,Аппарат1,""[[4750,4800],[5351, 5621]]"",""[contextual, contextual]"",8505"
"E-11,Аппарат1,""[[4750, 4800],[5364, 5607]]"",""[contextual, contextual]"",8514"
"E-12,Аппарат1,""[[5360, 5891],[4750,4800]]"",""[contextual, contextual]"",8512"
"E-13,Аппарат1,""[[5059, 5160], [5350,5390], [6199, 6319]]"",""[contextual, contextual, contextual]"",8640"
"A-1,Аппарат1,""[[4440, 4524]]"",[point],8640"
"D-1,Аппарат1,""[[5000, 8345]]"",[point],8509"
"P-2,Аппарат1,""[[5100, 6325]]"",[point],8209"
"P-3,Аппарат1,""[[5151, 6486]]"",[point],8493"
"D-2,Аппарат1,""[[4069, 8286]]"",[point],8595"
"D-3,Аппарат1,""[[4975, 8250]]"",[point],8640"
"D-4,Аппарат1,""[[4975, 8250]]"",[point],8473"
"A-2,Аппарат1,""[[4200, 4310]]"",[contextual],7914"
"A-3,Аппарат1,""[[4325, 4510]]"",[contextual],8205"
"A-4,Аппарат1,""[[4300, 4410]]"",[contextual],8080"
"G-1,Аппарат1,""[[4520, 4640]]"",[contextual],8469"
"G-2,Аппарат1,""[[3780, 3820]]"",[point],7361"
"D-5,Аппарат1,""[[4550, 4600]]"",[point],7628"
"D-6,Аппарат1,""[[4620, 4700]]"",[point],7884"
"D-7,Аппарат1,""[[4690, 7400]]"",[point],7642"
"F-1,Аппарат1,""[[5142, 5242]]"",[point],8584"
"P-4,Аппарат1,""[[700, 830], [1900, 2100], [4520, 4630]]"",""[point, point, point]"",7783"
"G-3,Аппарат1,""[[3950,4000]]"",[point],7907"
"T-1,Аппарат1,""[[2149, 3648], [6300,6335]]"",""[point, contextual]"",8612"
"T-2,Аппарат1,""[[6590, 8387]]"",[point],8625"
